Waiting for '/home/migly/git/rcrs-server/boot/logs/kernel.log' to exist...
Still waiting for '/home/migly/git/rcrs-server/boot/logs/kernel.log' to exist...
Waiting for 'Listening for connections'...
Still waiting for 'Listening for connections'...
Still waiting for 'Listening for connections'...
Still waiting for 'Listening for connections'...
Still waiting for 'Listening for connections'...
Still waiting for 'Listening for connections'...
Still waiting for 'Listening for connections'...
waiting for misc to connect...
Waiting for '/home/migly/git/rcrs-server/boot/logs/misc-out.log' to exist...
Still waiting for '/home/migly/git/rcrs-server/boot/logs/misc-out.log' to exist...
TRACE launcher : Setting 'resq-fire.randomseed' to '23'
TRACE launcher : Setting 'resq-fire.concrete_capacity' to '1.5'
TRACE launcher : Setting 'resq-fire.wooden_speed' to '0.05'
TRACE launcher : Setting 'resq-fire.energy_loss' to '0.86'
TRACE launcher : Setting 'resq-fire.ray_rate' to '0.0025'
TRACE launcher : Setting 'resq-fire.max_ray_distance' to '200000'
TRACE launcher : Setting 'resq-fire.burn-rate-average' to '0.15'
TRACE launcher : Setting 'resq-fire.burn-rate-variance' to '0.02'
Still waiting for 'success'...
TRACE launcher : Reading included config 'common.cfg'
TRACE launcher : Reading included config 'types.cfg'
TRACE launcher : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE launcher : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE launcher : Setting 'random.seed' to '1023'
TRACE launcher : Setting 'kernel.host' to 'localhost'
TRACE launcher : Setting 'kernel.port' to '7000'
TRACE launcher : Setting 'senario.human.random-id' to 'true'
TRACE launcher : Setting 'clear.repair.rate' to '15'
TRACE launcher : Setting 'clear.repair.distance' to '10000'
TRACE launcher : Setting 'clear.repair.rad' to '2000'
INFO launcher : Processing jar directory: /home/migly/git/rcrs-server/boot/../jars
INFO launcher : Processing ../jars/traffic3.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
TRACE launcher : Reading included config 'common.cfg'
TRACE launcher : Reading included config 'types.cfg'
TRACE launcher : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE launcher : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE launcher : Setting 'random.seed' to '1023'
TRACE launcher : Setting 'kernel.host' to 'localhost'
TRACE launcher : Setting 'kernel.port' to '7000'
TRACE launcher : Setting 'senario.human.random-id' to 'true'
TRACE launcher : Setting 'ignition.random.lambda' to '0.1'
TRACE launcher : Setting 'ignition.gas_station.explosion.range' to '50000'
INFO launcher : Processing ../jars/standard.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing jar directory: /home/migly/git/rcrs-server/boot/../jars
TRACE launcher : Reading included config 'common.cfg'
TRACE launcher : Reading included config 'types.cfg'
TRACE launcher : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE launcher : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE launcher : Setting 'random.seed' to '1023'
TRACE launcher : Setting 'kernel.host' to 'localhost'
INFO launcher : Processing ../jars/traffic3.jar
TRACE launcher : Setting 'kernel.port' to '7000'
TRACE launcher : Setting 'senario.human.random-id' to 'true'
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
TRACE launcher : Setting 'misc.buriedness.wood.none.value' to '0'
TRACE launcher : Setting 'misc.buriedness.wood.partial.value' to '20'
TRACE launcher : Setting 'misc.buriedness.wood.half.value' to '30'
TRACE launcher : Setting 'misc.buriedness.wood.all.value' to '60'
TRACE launcher : Setting 'misc.buriedness.steel.none.value' to '0'
TRACE launcher : Setting 'misc.buriedness.steel.partial.value' to '20'
TRACE launcher : Setting 'misc.buriedness.steel.half.value' to '35'
TRACE launcher : Setting 'misc.buriedness.steel.all.value' to '70'
TRACE launcher : Setting 'misc.buriedness.concrete.none.value' to '0'
TRACE launcher : Setting 'misc.buriedness.concrete.partial.value' to '35'
TRACE launcher : Setting 'misc.buriedness.concrete.half.value' to '60'
TRACE launcher : Setting 'misc.buriedness.concrete.all.value' to '80'
TRACE launcher : Setting 'misc.buriedness.wood.none.rate' to '0'
TRACE launcher : Setting 'misc.buriedness.wood.partial.rate' to '1'
TRACE launcher : Setting 'misc.buriedness.wood.half.rate' to '1'
TRACE launcher : Setting 'misc.buriedness.wood.all.rate' to '1'
TRACE launcher : Setting 'misc.buriedness.steel.none.rate' to '0'
TRACE launcher : Setting 'misc.buriedness.steel.partial.rate' to '0.008'
TRACE launcher : Setting 'misc.buriedness.steel.half.rate' to '0.008'
TRACE launcher : Setting 'misc.buriedness.steel.all.rate' to '0.008'
TRACE launcher : Setting 'misc.buriedness.concrete.none.rate' to '0'
TRACE launcher : Setting 'misc.buriedness.concrete.partial.rate' to '0.008'
TRACE launcher : Setting 'misc.buriedness.concrete.half.rate' to '0.008'
TRACE launcher : Setting 'misc.buriedness.concrete.all.rate' to '0.008'
TRACE launcher : Setting 'misc.injury.collapse.wood.none.slight' to '0'
TRACE launcher : Setting 'misc.injury.collapse.wood.none.serious' to '0'
TRACE launcher : Setting 'misc.injury.collapse.wood.none.critical' to '0'
TRACE launcher : Setting 'misc.injury.collapse.wood.partial.slight' to '0.5'
TRACE launcher : Setting 'misc.injury.collapse.wood.partial.serious' to '0.3'
INFO launcher : Processing jar directory: /home/migly/git/rcrs-server/boot/../jars
TRACE launcher : Setting 'misc.injury.collapse.wood.partial.critical' to '0.02'
TRACE launcher : Setting 'misc.injury.collapse.wood.half.slight' to '0.5'
TRACE launcher : Setting 'misc.injury.collapse.wood.half.serious' to '0.3'
TRACE launcher : Setting 'misc.injury.collapse.wood.half.critical' to '0.02'
TRACE launcher : Setting 'misc.injury.collapse.wood.all.slight' to '0.5'
TRACE launcher : Setting 'misc.injury.collapse.wood.all.serious' to '0.3'
TRACE launcher : Setting 'misc.injury.collapse.wood.all.critical' to '0.02'
TRACE launcher : Setting 'misc.injury.collapse.steel.none.slight' to '0'
TRACE launcher : Setting 'misc.injury.collapse.steel.none.serious' to '0'
INFO launcher : Processing ../jars/standard.jar
TRACE launcher : Setting 'misc.injury.collapse.steel.none.critical' to '0'
TRACE launcher : Setting 'misc.injury.collapse.steel.partial.slight' to '0.1'
TRACE launcher : Setting 'misc.injury.collapse.steel.partial.serious' to '0.03'
TRACE launcher : Setting 'misc.injury.collapse.steel.partial.critical' to '0.005'
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
TRACE launcher : Setting 'misc.injury.collapse.steel.half.slight' to '0.1'
TRACE launcher : Setting 'misc.injury.collapse.steel.half.serious' to '0.03'
TRACE launcher : Setting 'misc.injury.collapse.steel.half.critical' to '0.005'
TRACE launcher : Setting 'misc.injury.collapse.steel.all.slight' to '0.1'
INFO launcher : Processing ../jars/traffic3.jar
TRACE launcher : Setting 'misc.injury.collapse.steel.all.serious' to '0.03'
TRACE launcher : Setting 'misc.injury.collapse.steel.all.critical' to '0.005'
DEBUG launcher : Inspecting manifest...
TRACE launcher : Setting 'misc.injury.collapse.concrete.none.slight' to '0'
TRACE launcher : Setting 'misc.injury.collapse.concrete.none.serious' to '0'
DEBUG launcher : Looking for likely class names...
TRACE launcher : Setting 'misc.injury.collapse.concrete.none.critical' to '0'
TRACE launcher : Setting 'misc.injury.collapse.concrete.partial.slight' to '0.1'
TRACE launcher : Setting 'misc.injury.collapse.concrete.partial.serious' to '0.03'
TRACE launcher : Setting 'misc.injury.collapse.concrete.partial.critical' to '0.005'
TRACE launcher : Setting 'misc.injury.collapse.concrete.half.slight' to '0.1'
TRACE launcher : Setting 'misc.injury.collapse.concrete.half.serious' to '0.03'
TRACE launcher : Setting 'misc.injury.collapse.concrete.half.critical' to '0.005'
TRACE launcher : Setting 'misc.injury.collapse.concrete.all.slight' to '0.1'
TRACE launcher : Setting 'misc.injury.collapse.concrete.all.serious' to '0.03'
TRACE launcher : Setting 'misc.injury.collapse.concrete.all.critical' to '0.005'
TRACE launcher : Setting 'misc.injury.collapse.slight' to '2'
TRACE launcher : Setting 'misc.injury.collapse.serious' to '10'
TRACE launcher : Reading included config 'common.cfg'
TRACE launcher : Setting 'misc.injury.collapse.critical' to '10000'
TRACE launcher : Setting 'misc.injury.collapse.multiplier.ambulance' to '0.2'
TRACE launcher : Setting 'misc.injury.collapse.multiplier.police' to '0.2'
TRACE launcher : Setting 'misc.injury.collapse.multiplier.fire' to '0.2'
TRACE launcher : Setting 'misc.injury.bury.wood.none.slight' to '0'
TRACE launcher : Setting 'misc.injury.bury.wood.none.serious' to '0'
TRACE launcher : Setting 'misc.injury.bury.wood.none.critical' to '0'
TRACE launcher : Setting 'misc.injury.bury.wood.partial.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.bury.wood.partial.serious' to '0.5'
TRACE launcher : Setting 'misc.injury.bury.wood.partial.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.bury.wood.half.slight' to '0.4'
INFO launcher : Processing ../jars/standard.jar
TRACE launcher : Setting 'misc.injury.bury.wood.half.serious' to '0.5'
TRACE launcher : Setting 'misc.injury.bury.wood.half.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.bury.wood.all.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.bury.wood.all.serious' to '0.5'
DEBUG launcher : Inspecting manifest...
TRACE launcher : Setting 'misc.injury.bury.wood.all.critical' to '0.1'
DEBUG launcher : Looking for likely class names...
TRACE launcher : Setting 'misc.injury.bury.steel.none.slight' to '0'
TRACE launcher : Setting 'misc.injury.bury.steel.none.serious' to '0'
TRACE launcher : Setting 'misc.injury.bury.steel.none.critical' to '0'
TRACE launcher : Setting 'misc.injury.bury.steel.partial.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.bury.steel.partial.serious' to '0.5'
TRACE launcher : Reading included config 'types.cfg'
INFO launcher : Registered entity factory 'rescuecore2.standard.entities.StandardEntityFactory' with registry System
TRACE launcher : Setting 'misc.injury.bury.steel.partial.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.bury.steel.half.slight' to '0.4'
TRACE launcher : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE launcher : Setting 'misc.injury.bury.steel.half.serious' to '0.5'
TRACE launcher : Setting 'misc.injury.bury.steel.half.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.bury.steel.all.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.bury.steel.all.serious' to '0.5'
TRACE launcher : Setting 'misc.injury.bury.steel.all.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.bury.concrete.none.slight' to '0'
TRACE launcher : Setting 'misc.injury.bury.concrete.none.serious' to '0'
TRACE launcher : Setting 'misc.injury.bury.concrete.none.critical' to '0'
TRACE launcher : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE launcher : Setting 'misc.injury.bury.concrete.partial.slight' to '0.4'
TRACE launcher : Setting 'random.seed' to '1023'
TRACE launcher : Setting 'misc.injury.bury.concrete.partial.serious' to '0.5'
TRACE launcher : Setting 'misc.injury.bury.concrete.partial.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.bury.concrete.half.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.bury.concrete.half.serious' to '0.5'
TRACE launcher : Setting 'kernel.host' to 'localhost'
TRACE launcher : Setting 'misc.injury.bury.concrete.half.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.bury.concrete.all.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.bury.concrete.all.serious' to '0.5'
TRACE launcher : Setting 'misc.injury.bury.concrete.all.critical' to '0.1'
TRACE launcher : Setting 'kernel.port' to '7000'
TRACE launcher : Setting 'misc.injury.bury.slight' to '3'
TRACE launcher : Setting 'senario.human.random-id' to 'true'
TRACE launcher : Setting 'misc.injury.bury.serious' to '15'
TRACE launcher : Setting 'misc.injury.bury.critical' to '100'
TRACE launcher : Setting 'misc.injury.bury.multiplier.ambulance' to '0.2'
TRACE launcher : Setting 'misc.injury.bury.multiplier.police' to '0.2'
TRACE launcher : Setting 'misc.injury.bury.multiplier.fire' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.wood.none.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.wood.none.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.wood.none.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.wood.partial.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.wood.partial.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.wood.partial.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.wood.half.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.wood.half.serious' to '0.2'
INFO launcher : Registered property factory 'rescuecore2.standard.entities.StandardPropertyFactory' with registry System
TRACE launcher : Setting 'misc.injury.fire.wood.half.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.wood.all.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.wood.all.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.wood.all.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.steel.none.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.steel.none.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.steel.none.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.steel.partial.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.steel.partial.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.steel.partial.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.steel.half.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.steel.half.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.steel.half.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.steel.all.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.steel.all.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.steel.all.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.concrete.none.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.concrete.none.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.concrete.none.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.concrete.partial.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.concrete.partial.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.concrete.partial.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.concrete.half.slight' to '0.4'
TRACE launcher : Setting 'misc.injury.fire.concrete.half.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.concrete.half.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.concrete.all.slight' to '0.4'
TRACE launcher : Reading included config 'common.cfg'
TRACE launcher : Setting 'misc.injury.fire.concrete.all.serious' to '0.2'
TRACE launcher : Setting 'misc.injury.fire.concrete.all.critical' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.slight' to '5'
TRACE launcher : Setting 'misc.injury.fire.serious' to '20'
TRACE launcher : Setting 'misc.injury.fire.critical' to '100'
TRACE launcher : Setting 'misc.injury.fire.multiplier.ambulance' to '1'
TRACE launcher : Setting 'misc.injury.fire.multiplier.police' to '1'
TRACE launcher : Setting 'misc.injury.fire.multiplier.fire' to '0.2'
TRACE launcher : Setting 'misc.injury.collapse.k' to '0.00025'
TRACE launcher : Setting 'misc.injury.collapse.l' to '0.01'
TRACE launcher : Setting 'misc.injury.collapse.noise.mean' to '0.1'
TRACE launcher : Setting 'misc.injury.collapse.noise.sd' to '0.01'
TRACE launcher : Setting 'misc.injury.bury.k' to '0.000035'
TRACE launcher : Setting 'misc.injury.bury.l' to '0.01'
TRACE launcher : Setting 'misc.injury.bury.noise.mean' to '0.1'
TRACE launcher : Setting 'misc.injury.bury.noise.sd' to '0.01'
TRACE launcher : Setting 'misc.injury.fire.k' to '0.00025'
TRACE launcher : Setting 'misc.injury.fire.l' to '0.03'
TRACE launcher : Setting 'misc.injury.fire.noise.mean' to '0.1'
TRACE launcher : Setting 'misc.injury.fire.noise.sd' to '0.01'
INFO launcher : Registered message factory 'rescuecore2.standard.messages.StandardMessageFactory' with registry System
INFO launcher : Registered entity factory 'rescuecore2.standard.entities.StandardEntityFactory' with registry System
INFO launcher : Registered entity factory 'rescuecore2.standard.entities.StandardEntityFactory' with registry System
INFO launcher : Registered property factory 'rescuecore2.standard.entities.StandardPropertyFactory' with registry System
TRACE launcher : Reading included config 'types.cfg'
TRACE launcher : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE launcher : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE launcher : Setting 'random.seed' to '1023'
INFO launcher : Processing jar directory: /home/migly/git/rcrs-server/boot/../jars
INFO launcher : Processing ../jars/traffic3.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
TRACE launcher : Setting 'kernel.host' to 'localhost'
INFO launcher : Registered property factory 'rescuecore2.standard.entities.StandardPropertyFactory' with registry System
INFO launcher : Processing ../jars/standard.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Registered message factory 'rescuecore2.standard.messages.StandardMessageFactory' with registry System
TRACE launcher : Setting 'kernel.port' to '7000'
TRACE launcher : Setting 'senario.human.random-id' to 'true'
TRACE launcher : Setting 'collapse.wood.p-destroyed' to '0.2'
TRACE launcher : Setting 'collapse.wood.p-severe' to '0.15'
TRACE launcher : Setting 'collapse.wood.p-moderate' to '0.15'
TRACE launcher : Setting 'collapse.wood.p-slight' to '0.1'
TRACE launcher : Setting 'collapse.wood.p-none' to '0.4'
TRACE launcher : Setting 'collapse.steel.p-destroyed' to '0.2'
TRACE launcher : Setting 'collapse.steel.p-severe' to '0.2'
TRACE launcher : Setting 'collapse.steel.p-moderate' to '0.2'
TRACE launcher : Setting 'collapse.steel.p-slight' to '0.2'
TRACE launcher : Setting 'collapse.steel.p-none' to '0.2'
INFO launcher : Processing ../jars/maps.jar
DEBUG launcher : Inspecting manifest...
TRACE launcher : Setting 'collapse.concrete.p-destroyed' to '0.35'
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing jar directory: /home/migly/git/rcrs-server/boot/../jars
TRACE launcher : Setting 'collapse.concrete.p-severe' to '0.25'
TRACE launcher : Setting 'collapse.concrete.p-moderate' to '0.2'
TRACE launcher : Setting 'collapse.concrete.p-slight' to '0.1'
TRACE launcher : Setting 'collapse.concrete.p-none' to '0.1'
INFO launcher : Processing ../jars/traffic3.jar
TRACE launcher : Setting 'collapse.destroyed.mean' to '100'
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
TRACE launcher : Setting 'collapse.destroyed.sd' to '5'
TRACE launcher : Setting 'collapse.severe.mean' to '75'
TRACE launcher : Setting 'collapse.severe.sd' to '5'
TRACE launcher : Setting 'collapse.moderate.mean' to '50'
TRACE launcher : Setting 'collapse.moderate.sd' to '5'
TRACE launcher : Setting 'collapse.slight.mean' to '25'
TRACE launcher : Setting 'collapse.slight.sd' to '5'
TRACE launcher : Setting 'collapse.create-road-blockages' to 'true'
TRACE launcher : Setting 'collapse.floor-height' to '7'
TRACE launcher : Setting 'collapse.wall-extent.min' to '0.4'
TRACE launcher : Setting 'collapse.wall-extent.max' to '1'
INFO launcher : Processing ../jars/maps.jar
INFO launcher : Registered entity factory 'rescuecore2.standard.entities.StandardEntityFactory' with registry System
INFO launcher : Processing ../jars/standard.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/collapse.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Registered message factory 'rescuecore2.standard.messages.StandardMessageFactory' with registry System
INFO launcher : Processing ../jars/resq-fire.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/gis2.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/sample.jar
INFO launcher : Processing ../jars/collapse.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
WARN launcher : Class sample.CustomRegistryTestAgent$CustomEntityFactory not found
INFO launcher : Processing ../jars/handy.jar
INFO launcher : Processing ../jars/maps.jar
INFO launcher : Registered property factory 'rescuecore2.standard.entities.StandardPropertyFactory' with registry System
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/kernel.jar
DEBUG launcher : Inspecting manifest...
INFO launcher : Registered message factory 'rescuecore2.standard.messages.StandardMessageFactory' with registry System
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/misc.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/ignition.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/human.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/maps.jar
INFO launcher : Registered entity factory 'rescuecore2.standard.entities.StandardEntityFactory' with registry System
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing jar directory: /home/migly/git/rcrs-server/boot/../jars
INFO launcher : Processing ../jars/traffic3.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/clear.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/collapse.jar
INFO launcher : Launching 1 instances of component 'firesimulator.FireSimulatorWrapper'...
DEBUG launcher : Inspecting manifest...
INFO launcher : Processing ../jars/collapse.jar
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/resq-fire.jar
INFO launcher : Registered property factory 'rescuecore2.standard.entities.StandardPropertyFactory' with registry System
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/gis2.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/sample.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/standard.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/resq-fire.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/resq-fire.jar
WARN launcher : Class sample.CustomRegistryTestAgent$CustomEntityFactory not found
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/gis2.jar
INFO launcher : Processing ../jars/gis2.jar
INFO launcher : Processing ../jars/handy.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/kernel.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/sample.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
WARN launcher : Class sample.CustomRegistryTestAgent$CustomEntityFactory not found
INFO launcher : Processing ../jars/handy.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/kernel.jar
DEBUG launcher : Inspecting manifest...
INFO launcher : Processing ../jars/misc.jar
INFO launcher : Registered message factory 'rescuecore2.standard.messages.StandardMessageFactory' with registry System
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/maps.jar
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/misc.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/ignition.jar
DEBUG launcher : Inspecting manifest...
DEBUG launcher : Looking for likely class names...
INFO launcher : Processing ../jars/human.jar
INFO launcher : Processing ../jars/ignition.jar
